custpro@psold.world> /

TOTAL_FOR_WEEK                                                                                      
-------------------------------------------------------------------------------------------------   
10,05,03,05-MAR-12,17509                                                                            
10,06,03,06-MAR-12,16663                                                                            
10,07,03,07-MAR-12,15113                                                                            
10,08,03,08-MAR-12,19471                                                                            
10,09,03,09-MAR-12,18869                                                                            
11,12,03,12-MAR-12,17684                                                                            
11,13,03,13-MAR-12,16842                                                                            
11,14,03,14-MAR-12,16338                                                                            
11,15,03,15-MAR-12,16966                                                                            
11,16,03,16-MAR-12,16841                                                                            
12,19,03,19-MAR-12,15620                                                                            
12,20,03,20-MAR-12,13324                                                                            
12,21,03,21-MAR-12,15397                                                                            
12,22,03,22-MAR-12,15490                                                                            
12,23,03,23-MAR-12,13024                                                                            
13,26,03,26-MAR-12,15491                                                                            
13,27,03,27-MAR-12,15323                                                                            
13,28,03,28-MAR-12,16870                                                                            
13,29,03,29-MAR-12,11880                                                                            
13,30,03,30-MAR-12,14578                                                                            
33,16,08,16-AUG-12,21974                                                                            
33,17,08,17-AUG-12,20932                                                                            
34,21,08,21-AUG-12,24313                                                                            
34,22,08,22-AUG-12,22800                                                                            
34,23,08,23-AUG-12,19073                                                                            
34,20,08,20-AUG-12,25288                                                                            
34,24,08,24-AUG-12,22615                                                                            
35,27,08,27-AUG-12,23520                                                                            
35,28,08,28-AUG-12,21736                                                                            
35,29,08,29-AUG-12,21572                                                                            
35,30,08,30-AUG-12,19612                                                                            
35,31,08,31-AUG-12,22695                                                                            
29,19,07,19-JUL-12,19821                                                                            
29,20,07,20-JUL-12,25550                                                                            
29,18,07,18-JUL-12,17896                                                                            
29,17,07,17-JUL-12,19590                                                                            
32,06,08,06-AUG-12,24472                                                                            
32,07,08,07-AUG-12,16148                                                                            
32,08,08,08-AUG-12,28927                                                                            
32,09,08,09-AUG-12,26021                                                                            
32,10,08,10-AUG-12,22618                                                                            
33,13,08,13-AUG-12,24123                                                                            
33,14,08,14-AUG-12,21682                                                                            
33,15,08,15-AUG-12,19405                                                                            
30,26,07,26-JUL-12,21088                                                                            
30,25,07,25-JUL-12,19022                                                                            
30,27,07,27-JUL-12,25251                                                                            
31,01,08,01-AUG-12,19673                                                                            
31,31,07,31-JUL-12,20665                                                                            
31,30,07,30-JUL-12,20393                                                                            
31,02,08,02-AUG-12,19621                                                                            
31,03,08,03-AUG-12,26278                                                                            
30,23,07,23-JUL-12,22107                                                                            
30,24,07,24-JUL-12,21522                                                                            
23,06,06,06-JUN-12,20846                                                                            
23,08,06,08-JUN-12,18108                                                                            
23,07,06,07-JUN-12,18316                                                                            
24,13,06,13-JUN-12,18239                                                                            
24,11,06,11-JUN-12,24118                                                                            
24,12,06,12-JUN-12,16910                                                                            
24,15,06,15-JUN-12,18725                                                                            
7,15,02,15-FEB-12,14021                                                                             
24,14,06,14-JUN-12,18135                                                                            
7,16,02,16-FEB-12,14671                                                                             
7,17,02,17-FEB-12,14953                                                                             
8,20,02,20-FEB-12,0                                                                                 
8,21,02,21-FEB-12,19544                                                                             
8,22,02,22-FEB-12,15542                                                                             
8,23,02,23-FEB-12,14109                                                                             
8,24,02,24-FEB-12,15258                                                                             
9,27,02,27-FEB-12,15525                                                                             
9,28,02,28-FEB-12,13616                                                                             
9,29,02,29-FEB-12,11011                                                                             
9,01,03,01-MAR-12,16858                                                                             
9,02,03,02-MAR-12,14815                                                                             
14,02,04,02-APR-12,17240                                                                            
14,03,04,03-APR-12,15141                                                                            
14,05,04,05-APR-12,22474                                                                            
15,09,04,09-APR-12,27294                                                                            
15,10,04,10-APR-12,16000                                                                            
15,11,04,11-APR-12,16245                                                                            
15,12,04,12-APR-12,16573                                                                            
15,13,04,13-APR-12,17087                                                                            
16,16,04,16-APR-12,16444                                                                            
16,17,04,17-APR-12,17152                                                                            
16,18,04,18-APR-12,14909                                                                            
16,19,04,19-APR-12,14997                                                                            
16,20,04,20-APR-12,14726                                                                            
17,23,04,23-APR-12,16447                                                                            
17,24,04,24-APR-12,15326                                                                            
17,25,04,25-APR-12,14627                                                                            
17,26,04,26-APR-12,16634                                                                            
17,27,04,27-APR-12,17340                                                                            
18,30,04,30-APR-12,13181                                                                            
18,01,05,01-MAY-12,17399                                                                            
18,02,05,02-MAY-12,17118                                                                            
18,03,05,03-MAY-12,19840                                                                            
18,04,05,04-MAY-12,17079                                                                            
19,07,05,07-MAY-12,20053                                                                            
19,08,05,08-MAY-12,17287                                                                            
19,09,05,09-MAY-12,17107                                                                            
19,10,05,10-MAY-12,17132                                                                            
19,11,05,11-MAY-12,15640                                                                            
20,14,05,14-MAY-12,19840                                                                            
20,15,05,15-MAY-12,17512                                                                            
20,16,05,16-MAY-12,16186                                                                            
21,23,05,23-MAY-12,16054                                                                            
20,17,05,17-MAY-12,15281                                                                            
21,24,05,24-MAY-12,15694                                                                            
20,18,05,18-MAY-12,22725                                                                            
21,21,05,21-MAY-12,17841                                                                            
21,22,05,22-MAY-12,15732                                                                            
21,25,05,25-MAY-12,17665                                                                            
22,28,05,28-MAY-12,0                                                                                
22,29,05,29-MAY-12,18250                                                                            
22,30,05,30-MAY-12,12778                                                                            
22,31,05,31-MAY-12,16055                                                                            
22,01,06,01-JUN-12,18120                                                                            
23,04,06,04-JUN-12,17088                                                                            
23,05,06,05-JUN-12,16133                                                                            
25,22,06,22-JUN-12,17605                                                                            
25,21,06,21-JUN-12,17888                                                                            
26,28,06,28-JUN-12,14596                                                                            
25,19,06,19-JUN-12,16531                                                                            
25,20,06,20-JUN-12,22166                                                                            
26,27,06,27-JUN-12,18013                                                                            
26,26,06,26-JUN-12,18179                                                                            
26,29,06,29-JUN-12,17005                                                                            
26,25,06,25-JUN-12,17890                                                                            
25,18,06,18-JUN-12,19161                                                                            
27,04,07,04-JUL-12,48                                                                               
27,02,07,02-JUL-12,21713                                                                            
27,03,07,03-JUL-12,18199                                                                            
27,06,07,06-JUL-12,18266                                                                            
27,05,07,05-JUL-12,16685                                                                            
28,09,07,09-JUL-12,20804                                                                            
28,11,07,11-JUL-12,20626                                                                            
28,10,07,10-JUL-12,30211                                                                            
28,12,07,12-JUL-12,18720                                                                            
28,13,07,13-JUL-12,19747                                                                            
36,03,09,03-SEP-12,0                                                                                
36,04,09,04-SEP-12,38177                                                                            
36,05,09,05-SEP-12,27297                                                                            
36,06,09,06-SEP-12,27946                                                                            
36,07,09,07-SEP-12,28158                                                                            
37,10,09,10-SEP-12,30178                                                                            
37,11,09,11-SEP-12,26891                                                                            
37,12,09,12-SEP-12,25550                                                                            
37,13,09,13-SEP-12,25603                                                                            
37,14,09,14-SEP-12,20196                                                                            
38,17,09,17-SEP-12,24627                                                                            
38,18,09,18-SEP-12,24656                                                                            
29,16,07,16-JUL-12,18452                                                                            
38,19,09,19-SEP-12,20956                                                                            
38,20,09,20-SEP-12,21965                                                                            
38,21,09,21-SEP-12,26680                                                                            
39,24,09,24-SEP-12,21259                                                                            
39,25,09,25-SEP-12,23295                                                                            
39,26,09,26-SEP-12,25146                                                                            
39,27,09,27-SEP-12,23864                                                                            
39,28,09,28-SEP-12,22935                                                                            
40,01,10,01-OCT-12,27109                                                                            
40,02,10,02-OCT-12,25766                                                                            
40,03,10,03-OCT-12,36941                                                                            
40,05,10,05-OCT-12,30452                                                                            
41,11,10,11-OCT-12,26130                                                                            
41,08,10,08-OCT-12,28506                                                                            
41,09,10,09-OCT-12,24156                                                                            
41,10,10,10-OCT-12,25213                                                                            
40,04,10,04-OCT-12,31363                                                                            
41,12,10,12-OCT-12,25388                                                                            
42,15,10,15-OCT-12,21025                                                                            
42,16,10,16-OCT-12,27933                                                                            
42,17,10,17-OCT-12,21222                                                                            
42,18,10,18-OCT-12,19806                                                                            
42,19,10,19-OCT-12,25919                                                                            
43,22,10,22-OCT-12,24098                                                                            
43,23,10,23-OCT-12,17303                                                                            
43,24,10,24-OCT-12,24829                                                                            
43,25,10,25-OCT-12,23340                                                                            
44,29,10,29-OCT-12,27070                                                                            
43,26,10,26-OCT-12,31236                                                                            
44,30,10,30-OCT-12,26896                                                                            
44,31,10,31-OCT-12,20628                                                                            
44,02,11,02-NOV-12,30491                                                                            
44,01,11,01-NOV-12,32870                                                                            
45,05,11,05-NOV-12,28979                                                                            
45,06,11,06-NOV-12,33138                                                                            
45,09,11,09-NOV-12,25549                                                                            
45,07,11,07-NOV-12,30494                                                                            
45,08,11,08-NOV-12,26634                                                                            
46,12,11,12-NOV-12,25216                                                                            
46,13,11,13-NOV-12,18716                                                                            
46,14,11,14-NOV-12,21692                                                                            
46,15,11,15-NOV-12,21775                                                                            
46,16,11,16-NOV-12,21260                                                                            
47,19,11,19-NOV-12,38529                                                                            
47,20,11,20-NOV-12,29391                                                                            
47,21,11,21-NOV-12,20834                                                                            
47,22,11,22-NOV-12,7                                                                                
47,23,11,23-NOV-12,0                                                                                
48,26,11,26-NOV-12,23781                                                                            
48,27,11,27-NOV-12,24253                                                                            
48,28,11,28-NOV-12,30869                                                                            
48,29,11,29-NOV-12,33765                                                                            
48,30,11,30-NOV-12,25518                                                                            
49,03,12,03-DEC-12,30560                                                                            
49,04,12,04-DEC-12,36678                                                                            
49,05,12,05-DEC-12,31158                                                                            
49,06,12,06-DEC-12,32220                                                                            
49,07,12,07-DEC-12,29059                                                                            
50,10,12,10-DEC-12,32586                                                                            

212 rows selected.

custpro@psold.world> spool off
